content,score,at,token,lemmatized,clean,period,sentiment,is_positive,is_negative
kasih bintang apa terlambat splater ooff,1,2023-07-01,"['kasih', 'bintang', 'terlambat', 'splater', 'ooff']",kasih bintang lambat splater ooff,kasih bintang terlambat splater ooff,2023-07,NEGATIVE,0,0
senang pakai apl ini tidak rumit rekomendasi guys,5,2023-07-10,"['senang', 'pakai', 'apl', 'rumit', 'rekomendasi', 'guys']",senang pakai apl rumit rekomendasi guys,senang pakai apl rumit rekomendasi guys,2023-07,POSITIVE,0,0
terima kasih sangat membantu saya untuk pengobatan anak saya,5,2023-07-04,"['terima', 'kasih', 'membantu', 'pengobatan', 'anak']",terima kasih bantu obat anak,terima kasih membantu pengobatan anak,2023-07,POSITIVE,0,0
mantap mah cepat cair ntk melakkan proses pinjaman daring,5,2023-07-04,"['mantap', 'mah', 'cepat', 'cair', 'ntk', 'melakkan', 'proses', 'pinjaman', 'daring']",mantap mah cepat cair ntk lak proses pinjam daring,mantap mah cepat cair ntk melakkan proses pinjaman daring,2023-07,POSITIVE,0,0
transaksi cepat aman dan terpercaya semoga dapat ditingkatkan demi kenyamanan pelanggan,5,2023-07-22,"['transaksi', 'cepat', 'aman', 'terpercaya', 'semoga', 'ditingkatkan', 'kenyamanan', 'pelanggan']",transaksi cepat aman terpercaya moga tingkat nyaman langgan,transaksi cepat aman terpercaya semoga ditingkatkan kenyamanan pelanggan,2023-07,POSITIVE,0,0
aneh dan terngakak tidak pernah terlambat bayar pinjam terlambat bayar limite non aktifkan parah,1,2023-07-06,"['aneh', 'terngakak', 'terlambat', 'bayar', 'pinjam', 'terlambat', 'bayar', 'limite', 'non', 'aktifkan', 'parah']",aneh terngakak lambat bayar pinjam lambat bayar limite non aktif parah,aneh terngakak terlambat bayar pinjam terlambat bayar limite non aktifkan parah,2023-07,NEGATIVE,0,0
kata buat inoana kecewa tiak tagihan bayar sesai tanggal tapi limit nonaktifkan,1,2023-07-01,"['inoana', 'kecewa', 'tiak', 'tagihan', 'bayar', 'sesai', 'tanggal', 'limit', 'nonaktifkan']",inoana kecewa tiak tagih bayar sesai tanggal limit nonaktif,inoana kecewa tiak tagihan bayar sesai tanggal limit nonaktifkan,2023-07,NEGATIVE,0,0
semua serba cepat promo real tidak kaleng topp,5,2023-07-16,"['serba', 'cepat', 'promo', 'real', 'kaleng', 'topp']",serba cepat promo real kaleng topp,serba cepat promo real kaleng topp,2023-07,POSITIVE,0,0
proses cepat bunga ringan tan berbelit belit,5,2023-07-16,"['proses', 'cepat', 'bunga', 'ringan', 'tan', 'berbelit', 'belit']",proses cepat bunga ringan tan belit belit,proses cepat bunga ringan tan berbelit belit,2023-07,NEGATIVE,0,0
suka banget belanja zalora pakai bunga pembayarannya dia,5,2023-07-27,"['suka', 'banget', 'belanja', 'zalora', 'pakai', 'bunga', 'pembayarannya']",suka banget belanja zalora pakai bunga bayar,suka banget belanja zalora pakai bunga pembayarannya,2023-07,POSITIVE,0,0
pengajuan ditolak jangan salahgunakan data saya apabila kemudian hari terdapat tagihan tidak bertanggung jawab,1,2023-07-20,"['pengajuan', 'ditolak', 'salahgunakan', 'data', 'tagihan', 'bertanggung']",aju tolak salahgunakan data tagih tanggung,pengajuan ditolak salahgunakan data tagihan bertanggung,2023-07,NEGATIVE,0,0
cepat cair asalkan pembayaran kita konsisten alias tepat waktu,5,2023-07-03,"['cepat', 'cair', 'pembayaran', 'konsisten', 'alias']",cepat cair bayar konsisten alias,cepat cair pembayaran konsisten alias,2023-07,POSITIVE,0,0
aku laku sangat membantu semoga smakin baik lagi pelayanannya limitnya tambahin lagi,5,2023-07-21,"['laku', 'membantu', 'semoga', 'smakin', 'pelayanannya', 'limitnya', 'tambahin']",laku bantu moga smakin layan limit tambahin,laku membantu semoga smakin pelayanannya limitnya tambahin,2023-07,POSITIVE,0,0
sangat cepat dan tidak rumit terima kasih kredivo,5,2023-07-16,"['cepat', 'rumit', 'terima', 'kasih', 'kredivo']",cepat rumit terima kasih kredivo,cepat rumit terima kasih kredivo,2023-07,POSITIVE,0,0
sangat bagus dan gampang cara pengesihannya debest pokok nya,5,2023-07-15,"['bagus', 'gampang', 'pengesihannya', 'debest', 'pokok', 'nya']",bagus gampang sih debest pokok nya,bagus gampang pengesihannya debest pokok nya,2023-07,POSITIVE,0,0
sangat mudah untuk mengisi data semoga acc bisa cair,5,2023-07-26,"['mudah', 'mengisi', 'data', 'semoga', 'acc', 'cair']",mudah isi data moga acc cair,mudah mengisi data semoga acc cair,2023-07,POSITIVE,0,0
terima kasih indo ini bagus banget buat nolong kita yang lagi membutuhkan,2,2023-07-11,"['terima', 'kasih', 'indo', 'bagus', 'banget', 'nolong', 'membutuhkan']",terima kasih indo bagus banget nolong butuh,terima kasih indo bagus banget nolong membutuhkan,2023-07,POSITIVE,0,0
sangat memuaskan transaksi pun mudah jika kita sudah tingkat premium score keren kredivo,5,2023-07-28,"['memuaskan', 'transaksi', 'mudah', 'tingkat', 'premium', 'score', 'keren', 'kredivo']",puas transaksi mudah tingkat premium score keren kredivo,memuaskan transaksi mudah tingkat premium score keren kredivo,2023-07,POSITIVE,0,0
masuk saja lama banget padahal internet normal dan stabil diperbarui makin caurr,1,2023-07-24,"['masuk', 'banget', 'internet', 'normal', 'stabil', 'diperbarui', 'caurr']",masuk banget internet normal stabil baru caurr,masuk banget internet normal stabil diperbarui caurr,2023-07,NEGATIVE,0,0
pengajuan pinjaman tolak mulu padahal data isi semua dengan bnar dan sudah dapat limit,3,2023-07-28,"['pengajuan', 'pinjaman', 'tolak', 'mulu', 'data', 'isi', 'bnar', 'limit']",aju pinjam tolak mulu data isi bnar limit,pengajuan pinjaman tolak mulu data isi bnar limit,2023-07,NEGATIVE,0,0
muantap bisa bantu saya terima kasih kredivo,5,2023-07-18,"['muantap', 'bantu', 'terima', 'kasih', 'kredivo']",muantap bantu terima kasih kredivo,muantap bantu terima kasih kredivo,2023-07,POSITIVE,0,0
sudah satu minggu lebih hutang dibayar pas pengajuan kembali dan mengunakan bayar leter tidak bisa,1,2023-07-31,"['minggu', 'hutang', 'dibayar', 'pas', 'pengajuan', 'mengunakan', 'bayar', 'leter']",minggu hutang bayar pas aju mengunakan bayar leter,minggu hutang dibayar pas pengajuan mengunakan bayar leter,2023-07,NEGATIVE,0,0
tingkatkan limit kami bayar tertip kok limit turun,4,2023-07-04,"['tingkatkan', 'limit', 'bayar', 'tertip', 'limit', 'turun']",tingkat limit bayar tip limit turun,tingkatkan limit bayar tertip limit turun,2023-07,NEGATIVE,0,0
pelunasan tepat waktu kok penilaian kridit jelekk parahh turunke bintange,1,2023-07-29,"['pelunasan', 'penilaian', 'kridit', 'jelekk', 'parahh', 'turunke', 'bintange']",lunas nilai kridit jelekk parahh turunke bintange,pelunasan penilaian kridit jelekk parahh turunke bintange,2023-07,NEGATIVE,0,0
lumayan membantu sudah kali pinjaman tapi sayang tidak lolos terus upgrade nya,5,2023-07-11,"['lumayan', 'membantu', 'kali', 'pinjaman', 'sayang', 'lolos', 'upgrade', 'nya']",lumayan bantu kali pinjam sayang lolos upgrade nya,lumayan membantu kali pinjaman sayang lolos upgrade nya,2023-07,POSITIVE,0,0
kecepatan transaksi oke cuma saya minta tolong bunga jangan terlalu tinggi terima kasih,5,2023-07-05,"['kecepatan', 'transaksi', 'oke', 'tolong', 'bunga', 'terima', 'kasih']",cepat transaksi oke tolong bunga terima kasih,kecepatan transaksi oke tolong bunga terima kasih,2023-07,POSITIVE,0,0
pinjama dengan bunga terendah dan cepat proses,5,2023-07-13,"['pinjama', 'bunga', 'terendah', 'cepat', 'proses']",pinjama bunga rendah cepat proses,pinjama bunga terendah cepat proses,2023-07,POSITIVE,0,0
sangat mempermudah kebutuhan mendesak sukses selalu aku laku,5,2023-07-25,"['mempermudah', 'kebutuhan', 'mendesak', 'sukses', 'laku']",mudah butuh desak sukses laku,mempermudah kebutuhan mendesak sukses laku,2023-07,POSITIVE,0,0
berkat shooping saya membantu saat lagi bokek terima kasih kredivoo,5,2023-07-15,"['berkat', 'shooping', 'membantu', 'bokek', 'terima', 'kasih', 'kredivoo']",berkat shooping bantu bokek terima kasih kredivoo,berkat shooping membantu bokek terima kasih kredivoo,2023-07,POSITIVE,0,0
pendaftarannya mudah proses pinjaman juga mudah langsung cair tanpa lama banyak kupon menarik juga,5,2023-07-14,"['pendaftarannya', 'mudah', 'proses', 'pinjaman', 'mudah', 'langsung', 'cair', 'kupon', 'menarik']",daftar mudah proses pinjam mudah langsung cair kupon tarik,pendaftarannya mudah proses pinjaman mudah langsung cair kupon menarik,2023-07,POSITIVE,0,0
bagaimana ini saya salah tekan konfirmasi barang diterima padahal baru dikirim barangnya,4,2023-07-22,"['salah', 'tekan', 'konfirmasi', 'barang', 'diterima', 'dikirim', 'barangnya']",salah tekan konfirmasi barang terima kirim barang,salah tekan konfirmasi barang diterima dikirim barangnya,2023-07,NEGATIVE,0,0
saya pelanggan setia tapi sekarang selalu tolak ketika pengajuan pinjaman tunai,5,2023-07-22,"['pelanggan', 'setia', 'tolak', 'pengajuan', 'pinjaman', 'tunai']",langgan setia tolak aju pinjam tunai,pelanggan setia tolak pengajuan pinjaman tunai,2023-07,POSITIVE,0,0
payah habis terlambat pembayaran terus sudah bayar bahkan tidak bisa mengambil pulsa kecewa,5,2023-07-16,"['payah', 'habis', 'terlambat', 'pembayaran', 'bayar', 'mengambil', 'pulsa', 'kecewa']",payah habis lambat bayar bayar ambil pulsa kecewa,payah habis terlambat pembayaran bayar mengambil pulsa kecewa,2023-07,NEGATIVE,0,0
terima kasih kridivo pokoknya pakai rumit suka dengan kridivo benaran membantu kridivo,5,2023-07-23,"['terima', 'kasih', 'kridivo', 'pokoknya', 'pakai', 'rumit', 'suka', 'kridivo', 'benaran', 'membantu', 'kridivo']",terima kasih kridivo pokok pakai rumit suka kridivo benar bantu kridivo,terima kasih kridivo pokoknya pakai rumit suka kridivo benaran membantu kridivo,2023-07,POSITIVE,0,0
poko pakai aku laku mantap banget,5,2023-07-08,"['poko', 'pakai', 'laku', 'mantap', 'banget']",poko pakai laku mantap banget,poko pakai laku mantap banget,2023-07,POSITIVE,0,0
sebenarnya sangat puas sih dengan tapi ada sedikit kecewa soal paylater bisa bayar cicilan,5,2023-07-11,"['puas', 'sih', 'kecewa', 'paylater', 'bayar', 'cicilan']",puas sih kecewa paylater bayar cicil,puas sih kecewa paylater bayar cicilan,2023-07,NEGATIVE,0,0
cepat proses tidak pakai meram pasang cair,5,2023-07-12,"['cepat', 'proses', 'pakai', 'meram', 'pasang', 'cair']",cepat proses pakai ram pasang cair,cepat proses pakai meram pasang cair,2023-07,POSITIVE,0,0
aku suka proses cepat dan tidak rumit cuma ada sayangnya dikit kho limit pakai,5,2023-07-18,"['suka', 'proses', 'cepat', 'rumit', 'sayangnya', 'dikit', 'kho', 'limit', 'pakai']",suka proses cepat rumit sayang dikit kho limit pakai,suka proses cepat rumit sayangnya dikit kho limit pakai,2023-07,POSITIVE,0,0
belum jatuh tempo sudah dtagih team collection kasar,1,2023-07-01,"['jatuh', 'tempo', 'dtagih', 'team', 'collection', 'kasar']",jatuh tempo dtagih team collection kasar,jatuh tempo dtagih team collection kasar,2023-07,NEGATIVE,0,0
sangat membantu dan pelayanannya sangat baik dan tepat terima kasih akulakuu,5,2023-07-05,"['membantu', 'pelayanannya', 'terima', 'kasih', 'akulakuu']",bantu layan terima kasih akulakuu,membantu pelayanannya terima kasih akulakuu,2023-07,POSITIVE,0,0
halo akun saya tertulis terblokir sementara dan saya tidak ada tunggakan sama sekali,5,2023-07-06,"['halo', 'akun', 'tertulis', 'terblokir', 'tunggakan']",halo akun tulis blokir tunggak,halo akun tertulis terblokir tunggakan,2023-07,NEGATIVE,0,0
buat saya sangat membantu banget top habis pokok nya,5,2023-07-01,"['membantu', 'banget', 'top', 'habis', 'pokok', 'nya']",bantu banget top habis pokok nya,membantu banget top habis pokok nya,2023-07,POSITIVE,0,0
bagus aplikasi sangat membantu disaat tidak mempunyai dana direkening terima kasih,5,2023-07-22,"['bagus', 'aplikasi', 'membantu', 'disaat', 'dana', 'direkening', 'terima', 'kasih']",bagus aplikasi bantu saat dana rekening terima kasih,bagus aplikasi membantu disaat dana direkening terima kasih,2023-07,POSITIVE,0,0
berkali kali ajukan sellu ditolak yahh tidk sesuai iklann dimn mulu sekali ternyata zong,1,2023-07-20,"['berkali', 'kali', 'ajukan', 'sellu', 'ditolak', 'yahh', 'tidk', 'sesuai', 'iklann', 'dimn', 'mulu', 'zong']",kali kali ajuk sellu tolak yahh tidk sesuai iklann dimn mulu zong,berkali kali ajukan sellu ditolak yahh tidk sesuai iklann dimn mulu zong,2023-07,NEGATIVE,0,0
semoga bisa kasih dana buat kredit barang lagi,5,2023-07-09,"['semoga', 'kasih', 'dana', 'kredit', 'barang']",moga kasih dana kredit barang,semoga kasih dana kredit barang,2023-07,POSITIVE,0,0
limit rendah sulit acc hati dengan nik ktp kita sudah pemgajuan tapi tolak,1,2023-07-28,"['limit', 'rendah', 'sulit', 'acc', 'hati', 'nik', 'ktp', 'pemgajuan', 'tolak']",limit rendah sulit acc hati nik ktp pemgajuan tolak,limit rendah sulit acc hati nik ktp pemgajuan tolak,2023-07,NEGATIVE,0,0
yang mudah gampang wat minjam dwit,5,2023-07-03,"['mudah', 'gampang', 'wat', 'minjam', 'dwit']",mudah gampang wat minjam dwit,mudah gampang wat minjam dwit,2023-07,POSITIVE,0,0
terima kasih sudah membantu sangat mudah banget transaksi terima kasih apliksi kredivo,5,2023-07-13,"['terima', 'kasih', 'membantu', 'mudah', 'banget', 'transaksi', 'terima', 'kasih', 'apliksi', 'kredivo']",terima kasih bantu mudah banget transaksi terima kasih apliksi kredivo,terima kasih membantu mudah banget transaksi terima kasih apliksi kredivo,2023-07,POSITIVE,0,0
aplikasi nya sangat mudah gunakan dan amanah semoga sukses selalu,4,2023-07-17,"['aplikasi', 'nya', 'mudah', 'amanah', 'semoga', 'sukses']",aplikasi nya mudah amanah moga sukses,aplikasi nya mudah amanah semoga sukses,2023-07,POSITIVE,0,0
parah tidak bisa di pakai tambah rumit saja makin lama ruwet payah,1,2023-07-07,"['parah', 'pakai', 'rumit', 'ruwet', 'payah']",parah pakai rumit ruwet payah,parah pakai rumit ruwet payah,2023-07,NEGATIVE,0,0
sangat mudah prosesnya perbaikan dan tingkatkan promo nya,5,2023-07-21,"['mudah', 'prosesnya', 'perbaikan', 'tingkatkan', 'promo', 'nya']",mudah proses baik tingkat promo nya,mudah prosesnya perbaikan tingkatkan promo nya,2023-07,POSITIVE,0,0
mantap surantap dikira canda eeh ternyata benaran ada pulsa gratiss akulaku,5,2023-07-21,"['mantap', 'surantap', 'canda', 'eeh', 'benaran', 'pulsa', 'gratiss', 'akulaku']",mantap surantap canda eeh benar pulsa gratiss akulaku,mantap surantap canda eeh benaran pulsa gratiss akulaku,2023-07,POSITIVE,0,0
bagus sekali sangat membantu terima kasih kredivo,5,2023-07-04,"['bagus', 'membantu', 'terima', 'kasih', 'kredivo']",bagus bantu terima kasih kredivo,bagus membantu terima kasih kredivo,2023-07,POSITIVE,0,0
bagus kerja membantu untuk butuh keuangan pihak kita,5,2023-07-13,"['bagus', 'kerja', 'membantu', 'butuh', 'keuangan']",bagus kerja bantu butuh uang,bagus kerja membantu butuh keuangan,2023-07,POSITIVE,0,0
bisa brkata rabun akan lihat bintang dikasih biar saja bintang berbicara,5,2023-07-22,"['brkata', 'rabun', 'lihat', 'bintang', 'dikasih', 'biar', 'bintang', 'berbicara']",brkata rabun lihat bintang kasih biar bintang bicara,brkata rabun lihat bintang dikasih biar bintang berbicara,2023-07,NEGATIVE,0,0
oke mudah tapi agak lama proses pengajuan ulang,5,2023-07-25,"['oke', 'mudah', 'proses', 'pengajuan', 'ulang']",oke mudah proses aju ulang,oke mudah proses pengajuan ulang,2023-07,NEGATIVE,0,0
terima kasih aku laku sudah selesai pinjamanya,5,2023-07-10,"['terima', 'kasih', 'laku', 'selesai', 'pinjamanya']",terima kasih laku selesai pinjamanya,terima kasih laku selesai pinjamanya,2023-07,POSITIVE,0,0
kenapa tampilany memutar terus minimal kok terbuka segera perbaikin minimal smkin upgrade kok makin nyaman,3,2023-07-04,"['tampilany', 'memutar', 'minimal', 'terbuka', 'perbaikin', 'minimal', 'smkin', 'upgrade', 'nyaman']",tampilany putar minimal buka perbaikin minimal smkin upgrade nyaman,tampilany memutar minimal terbuka perbaikin minimal smkin upgrade nyaman,2023-07,POSITIVE,0,0
limit tidak naik kenapa padahal bayar tepat waktu bahkan bayarnya sebelum waktu jatuh tempo,3,2023-07-18,"['limit', 'bayar', 'bayarnya', 'jatuh', 'tempo']",limit bayar bayar jatuh tempo,limit bayar bayarnya jatuh tempo,2023-07,NEGATIVE,0,0
ari pengajuan awal saja tidak akui dan tidak kasih apa alasan jelas,1,2023-07-09,"['ari', 'pengajuan', 'akui', 'kasih', 'alasan']",ari aju aku kasih alas,ari pengajuan akui kasih alasan,2023-07,NEGATIVE,0,0
pinjaman gampang cairr banyak bibu best lah pokoknya,5,2023-07-18,"['pinjaman', 'gampang', 'cairr', 'bibu', 'best', 'pokoknya']",pinjam gampang cairr bibu best pokok,pinjaman gampang cairr bibu best pokoknya,2023-07,POSITIVE,0,0
paling top sangat memudahkan bagi hidup saya sukses kredivo,5,2023-07-20,"['top', 'memudahkan', 'hidup', 'sukses', 'kredivo']",top mudah hidup sukses kredivo,top memudahkan hidup sukses kredivo,2023-07,POSITIVE,0,0
limit sesuai diharapkan tapi lumayan lah disaat butuh,3,2023-07-05,"['limit', 'sesuai', 'diharapkan', 'lumayan', 'disaat', 'butuh']",limit sesuai harap lumayan saat butuh,limit sesuai diharapkan lumayan disaat butuh,2023-07,POSITIVE,0,0
aplikasi busuk mau daftar limit saja tolak terus,1,2023-07-29,"['aplikasi', 'busuk', 'daftar', 'limit', 'tolak']",aplikasi busuk daftar limit tolak,aplikasi busuk daftar limit tolak,2023-07,NEGATIVE,0,0
guna banget masa cuma bisa digunain transaksi saja pakai paylater tidak jelas,1,2023-07-28,"['banget', 'digunain', 'transaksi', 'pakai', 'paylater']",banget digunain transaksi pakai paylater,banget digunain transaksi pakai paylater,2023-07,NEGATIVE,0,0
sangat mudah gunakan dan membantu terima kasih kredivo,5,2023-07-19,"['mudah', 'membantu', 'terima', 'kasih', 'kredivo']",mudah bantu terima kasih kredivo,mudah membantu terima kasih kredivo,2023-07,POSITIVE,0,0
serba salah terlambat bayar salah bayar diawal salah bayar tepat waktu juga masih salah bingung,2,2023-07-27,"['serba', 'salah', 'terlambat', 'bayar', 'salah', 'bayar', 'diawal', 'salah', 'bayar', 'salah', 'bingung']",serba salah lambat bayar salah bayar awal salah bayar salah bingung,serba salah terlambat bayar salah bayar diawal salah bayar salah bingung,2023-07,NEGATIVE,0,0
sangat membantu sekali bunga termasuk kecil dibandingkan lain semoga limit dinaikkan lagi,5,2023-07-05,"['membantu', 'bunga', 'dibandingkan', 'semoga', 'limit', 'dinaikkan']",bantu bunga banding moga limit naik,membantu bunga dibandingkan semoga limit dinaikkan,2023-07,NEGATIVE,0,0
bagus cuma harga barang sedikit lebih mahal dari sebelah,5,2023-07-26,"['bagus', 'harga', 'barang', 'mahal', 'sebelah']",bagus harga barang mahal belah,bagus harga barang mahal sebelah,2023-07,NEGATIVE,0,0
baru pertama daftar sudah dapat diskon banyak kupon belanja dan limit paylater besar,5,2023-07-05,"['daftar', 'diskon', 'kupon', 'belanja', 'limit', 'paylater']",daftar diskon kupon belanja limit paylater,daftar diskon kupon belanja limit paylater,2023-07,POSITIVE,0,0
kecewa banget ngajuin pinjaman tidak pernah acc omo,1,2023-07-12,"['kecewa', 'banget', 'ngajuin', 'pinjaman', 'acc', 'omo']",kecewa banget ngajuin pinjam acc omo,kecewa banget ngajuin pinjaman acc omo,2023-07,NEGATIVE,0,0
baik hati bngtpuas banget deh buat akulaku,5,2023-07-01,"['hati', 'bngtpuas', 'banget', 'deh', 'akulaku']",hati bngtpuas banget deh akulaku,hati bngtpuas banget deh akulaku,2023-07,POSITIVE,0,0
puas banget dengan pelayanan ini mudah sgla transaksi semoga makin naik terus depan nya,5,2023-07-16,"['puas', 'banget', 'pelayanan', 'mudah', 'sgla', 'transaksi', 'semoga', 'nya']",puas banget layan mudah sgla transaksi moga nya,puas banget pelayanan mudah sgla transaksi semoga nya,2023-07,POSITIVE,0,0
sangat rekomendasi dan sangat membantu keuangan terima kasih akulaku,5,2023-07-31,"['rekomendasi', 'membantu', 'keuangan', 'terima', 'kasih', 'akulaku']",rekomendasi bantu uang terima kasih akulaku,rekomendasi membantu keuangan terima kasih akulaku,2023-07,POSITIVE,0,0
persyaratan mudah semoga acc hari ini saya kasih bintang kalau acc rekomendasi banget saya bintang,2,2023-07-27,"['persyaratan', 'mudah', 'semoga', 'acc', 'kasih', 'bintang', 'acc', 'rekomendasi', 'banget', 'bintang']",syarat mudah moga acc kasih bintang acc rekomendasi banget bintang,persyaratan mudah semoga acc kasih bintang acc rekomendasi banget bintang,2023-07,POSITIVE,0,0
terima kasih sudah selalu membantu pembayaran lebih praktis kredivo,5,2023-07-12,"['terima', 'kasih', 'membantu', 'pembayaran', 'praktis', 'kredivo']",terima kasih bantu bayar praktis kredivo,terima kasih membantu pembayaran praktis kredivo,2023-07,POSITIVE,0,0
engan proses yang memuaskan dan ramah tamah dengan mas eni,5,2023-07-02,"['engan', 'proses', 'memuaskan', 'ramah', 'tamah', 'mas', 'eni']",engan proses puas ramah tamah mas eni,engan proses memuaskan ramah tamah mas eni,2023-07,POSITIVE,0,0
memang membantu banget saya puas dengan layanan ini terima kasih,5,2023-07-18,"['membantu', 'banget', 'puas', 'layanan', 'terima', 'kasih']",bantu banget puas layan terima kasih,membantu banget puas layanan terima kasih,2023-07,POSITIVE,0,0
sangat membantu saat terdesak dengan bunga rendah dan limit waktu dapat sesuaikan,5,2023-07-30,"['membantu', 'terdesak', 'bunga', 'rendah', 'limit', 'sesuaikan']",bantu desak bunga rendah limit sesuai,membantu terdesak bunga rendah limit sesuaikan,2023-07,POSITIVE,0,0
susah acc komen gampang cair itu paling anteknya juga data saya jangan salah gunakan,1,2023-07-06,"['susah', 'acc', 'komen', 'gampang', 'cair', 'anteknya', 'data', 'salah']",susah acc komen gampang cair antek data salah,susah acc komen gampang cair anteknya data salah,2023-07,NEGATIVE,0,0
jelek premium bisa pakai jangan unduh aplikasi ini,1,2023-07-19,"['jelek', 'premium', 'pakai', 'unduh', 'aplikasi']",jelek premium pakai unduh aplikasi,jelek premium pakai unduh aplikasi,2023-07,NEGATIVE,0,0
cukup bagus tapi kenapa dipersulit untuk dana pinjam padahal track record saya bagus,4,2023-07-04,"['bagus', 'dipersulit', 'dana', 'pinjam', 'track', 'record', 'bagus']",bagus sulit dana pinjam track record bagus,bagus dipersulit dana pinjam track record bagus,2023-07,POSITIVE,0,0
sangat membantu proses cepat acc alhmdlh setelah etengah tahun beklis skgbudah bisa gunakan lagi kredivo,5,2023-07-20,"['membantu', 'proses', 'cepat', 'acc', 'alhmdlh', 'etengah', 'beklis', 'skgbudah', 'kredivo']",bantu proses cepat acc alhmdlh etengah beklis skgbudah kredivo,membantu proses cepat acc alhmdlh etengah beklis skgbudah kredivo,2023-07,POSITIVE,0,0
terrparraahh hati buat kalian tidak disetujui dengan data anda secara tidak langsung sudah retas,1,2023-07-25,"['terrparraahh', 'hati', 'disetujui', 'data', 'langsung', 'retas']",terrparraahh hati tuju data langsung retas,terrparraahh hati disetujui data langsung retas,2023-07,NEGATIVE,0,0
mohon data saya hapus pengajuan rumit sekali,5,2023-07-29,"['mohon', 'data', 'hapus', 'pengajuan', 'rumit']",mohon data hapus aju rumit,mohon data hapus pengajuan rumit,2023-07,NEGATIVE,0,0
yang sangat bagus pengajuan pinjaman selalu permudah termakasih,5,2023-07-13,"['bagus', 'pengajuan', 'pinjaman', 'permudah', 'termakasih']",bagus aju pinjam mudah termakasih,bagus pengajuan pinjaman permudah termakasih,2023-07,POSITIVE,0,0
aplikasi busukk jangan memasang apa lagi ngajuin pinjaman sangat busuk lah,1,2023-07-17,"['aplikasi', 'busukk', 'memasang', 'ngajuin', 'pinjaman', 'busuk']",aplikasi busukk pasang ngajuin pinjam busuk,aplikasi busukk memasang ngajuin pinjaman busuk,2023-07,NEGATIVE,0,0
benar sangat membantu semoga makin lebih mudah lagi dalam bertransaksi pokoknya oke banget,5,2023-07-19,"['membantu', 'semoga', 'mudah', 'bertransaksi', 'pokoknya', 'oke', 'banget']",bantu moga mudah transaksi pokok oke banget,membantu semoga mudah bertransaksi pokoknya oke banget,2023-07,POSITIVE,0,0
tidak jelas score credit tapi tidak bisa checkout merchant tersedia,2,2023-07-18,"['score', 'credit', 'checkout', 'merchant', 'tersedia']",score credit checkout merchant sedia,score credit checkout merchant tersedia,2023-07,NEGATIVE,0,0
ntuk pinjaman awal pertama hasil memuaskan terima kasih,5,2023-07-13,"['ntuk', 'pinjaman', 'hasil', 'memuaskan', 'terima', 'kasih']",ntuk pinjam hasil puas terima kasih,ntuk pinjaman hasil memuaskan terima kasih,2023-07,POSITIVE,0,0
bunga lebih kecil akun sebelah sayang kalau terlambat hari saja dendanya kadang lupa hiks,5,2023-07-13,"['bunga', 'akun', 'sebelah', 'sayang', 'terlambat', 'dendanya', 'kadang', 'lupa', 'hiks']",bunga akun belah sayang lambat denda kadang lupa hiks,bunga akun sebelah sayang terlambat dendanya kadang lupa hiks,2023-07,NEGATIVE,0,0
buka bisa mau bayar cicilan bisa kayaknya ini permainkan,1,2023-07-12,"['buka', 'bayar', 'cicilan', 'kayaknya', 'permainkan']",buka bayar cicil kayak main,buka bayar cicilan kayaknya permainkan,2023-07,NEGATIVE,0,0
prosesnya cepat kalau bisa potongan admin jangan terlalu gede box,5,2023-07-09,"['prosesnya', 'cepat', 'potongan', 'admin', 'gede', 'box']",proses cepat potong admin gede box,prosesnya cepat potongan admin gede box,2023-07,POSITIVE,0,0
terima kasih sudah berbaik hati meminjamkan modal usaha,5,2023-07-20,"['terima', 'kasih', 'berbaik', 'hati', 'meminjamkan', 'modal', 'usaha']",terima kasih baik hati pinjam modal usaha,terima kasih berbaik hati meminjamkan modal usaha,2023-07,POSITIVE,0,0
jatuh tempo 3hari lagi sudah spam telpon tiap sejam sekali,1,2023-07-10,"['jatuh', 'tempo', '3hari', 'spam', 'telpon', 'sejam']",jatuh tempo 3hari spam telpon jam,jatuh tempo 3hari spam telpon sejam,2023-07,NEGATIVE,0,0
gut aplikasi dan sangat membantu keperluan mendesak,5,2023-07-19,"['gut', 'aplikasi', 'membantu', 'keperluan', 'mendesak']",gut aplikasi bantu perlu desak,gut aplikasi membantu keperluan mendesak,2023-07,POSITIVE,0,0
buruk pelanggan tetap kecewa pinjam lagi tolak terus padahal tidak pernah terlambat bayar nya,1,2023-07-19,"['buruk', 'pelanggan', 'kecewa', 'pinjam', 'tolak', 'terlambat', 'bayar', 'nya']",buruk langgan kecewa pinjam tolak lambat bayar nya,buruk pelanggan kecewa pinjam tolak terlambat bayar nya,2023-07,NEGATIVE,0,0
prosesnya cepat banget rekomendasi banget nih guys,5,2023-07-23,"['prosesnya', 'cepat', 'banget', 'rekomendasi', 'banget', 'nih', 'guys']",proses cepat banget rekomendasi banget nih guys,prosesnya cepat banget rekomendasi banget nih guys,2023-07,POSITIVE,0,0
kok limit turun belum sampai sehari saya sudah melunasi karena kebutuhan mendesak saya meminjam,5,2023-07-07,"['limit', 'turun', 'sehari', 'melunasi', 'kebutuhan', 'mendesak', 'meminjam']",limit turun hari lunas butuh desak pinjam,limit turun sehari melunasi kebutuhan mendesak meminjam,2023-07,NEGATIVE,0,0
