content,score,at,token,lemmatized,clean,period,sentiment,is_positive,is_negative,rating_sentiment
kecewa pengajuan tolak padahal sebelumnya sebelum jatuh tempo sudah lunasin tapi tolak,2,2023-03-10,"['kecewa', 'pengajuan', 'tolak', 'jatuh', 'tempo', 'lunasin', 'tolak']",kecewa aju tolak jatuh tempo lunasin tolak,kecewa pengajuan tolak jatuh tempo lunasin tolak,2023-03,NEGATIVE,0,1,NEGATIVE
membantu saat butuh bunga lumayan murah banding aplikasi sebelah,5,2023-03-06,"['membantu', 'butuh', 'bunga', 'lumayan', 'murah', 'banding', 'aplikasi', 'sebelah']",bantu butuh bunga lumayan murah banding aplikasi belah,membantu butuh bunga lumayan murah banding aplikasi sebelah,2023-03,POSITIVE,1,0,POSITIVE
kecawa saya daftar tidak pernah lolos alasan data tidak benar,1,2023-03-14,"['kecawa', 'daftar', 'lolos', 'alasan', 'data']",kecawa daftar lolos alas data,kecawa daftar lolos alasan data,2023-03,NEGATIVE,0,1,NEGATIVE
sangat membantu buat bayar listrik bpjs dan internet bulanan,5,2023-03-21,"['membantu', 'bayar', 'listrik', 'bpjs', 'internet', 'bulanan']",bantu bayar listrik bpjs internet bulan,membantu bayar listrik bpjs internet bulanan,2023-03,POSITIVE,1,0,POSITIVE
senang sekali pakai apl ini pengajuan cpat langsung acc sangat membantu pokoknya mantap,5,2023-03-18,"['senang', 'pakai', 'apl', 'pengajuan', 'cpat', 'langsung', 'acc', 'membantu', 'pokoknya', 'mantap']",senang pakai apl aju cpat langsung acc bantu pokok mantap,senang pakai apl pengajuan cpat langsung acc membantu pokoknya mantap,2023-03,POSITIVE,1,0,POSITIVE
cara belanja mudah dan pinjam tunai mudah dan cepat,5,2023-03-02,"['belanja', 'mudah', 'pinjam', 'tunai', 'mudah', 'cepat']",belanja mudah pinjam tunai mudah cepat,belanja mudah pinjam tunai mudah cepat,2023-03,POSITIVE,1,0,POSITIVE
sekarang bisa pinjam cuma cicilan pulsa dun kecewa banget,2,2023-03-11,"['pinjam', 'cicilan', 'pulsa', 'dun', 'kecewa', 'banget']",pinjam cicil pulsa dun kecewa banget,pinjam cicilan pulsa dun kecewa banget,2023-03,NEGATIVE,0,1,NEGATIVE
saya harap data saya tidak salah gunakan tolong hapus,2,2023-03-06,"['harap', 'data', 'salah', 'tolong', 'hapus']",harap data salah tolong hapus,harap data salah tolong hapus,2023-03,NEGATIVE,0,1,NEGATIVE
engak jelas sekarang habis bisa pakai serang engak bisa lagi aneh,2,2023-03-07,"['engak', 'habis', 'pakai', 'serang', 'engak', 'aneh']",engak habis pakai serang engak aneh,engak habis pakai serang engak aneh,2023-03,NEGATIVE,0,1,NEGATIVE
mempermudah pembelanjaan mantap sukses selalu aku laku,4,2023-03-13,"['mempermudah', 'pembelanjaan', 'mantap', 'sukses', 'laku']",mudah belanja mantap sukses laku,mempermudah pembelanjaan mantap sukses laku,2023-03,POSITIVE,1,0,POSITIVE
mudah mudahan acc pengajuan yang kedua kalinya,5,2023-03-31,"['mudah', 'mudahan', 'acc', 'pengajuan', 'kalinya']",mudah mudah acc aju kali,mudah mudahan acc pengajuan kalinya,2023-03,POSITIVE,1,0,POSITIVE
sudah mempermudah dalam meminjamkan semoga dengan bunganya lebih rendah amiin,5,2023-03-07,"['mempermudah', 'meminjamkan', 'semoga', 'bunganya', 'rendah', 'amiin']",mudah pinjam moga bunga rendah amiin,mempermudah meminjamkan semoga bunganya rendah amiin,2023-03,POSITIVE,1,0,POSITIVE
mantap semoga jaya terus terima kasih kredivo,5,2023-03-02,"['mantap', 'semoga', 'jaya', 'terima', 'kasih', 'kredivo']",mantap moga jaya terima kasih kredivo,mantap semoga jaya terima kasih kredivo,2023-03,POSITIVE,1,0,POSITIVE
sangat membantu dalam pengusian pulsa belanja dan pinjaman tunai,5,2023-03-27,"['membantu', 'pengusian', 'pulsa', 'belanja', 'pinjaman', 'tunai']",bantu pengusian pulsa belanja pinjam tunai,membantu pengusian pulsa belanja pinjaman tunai,2023-03,POSITIVE,1,0,POSITIVE
sangat bagus dan menarik banyak diskon dan mudah digunakan bisa ketagihan belanja daring kalau begini,5,2023-03-31,"['bagus', 'menarik', 'diskon', 'mudah', 'ketagihan', 'belanja', 'daring']",bagus tarik diskon mudah tagih belanja daring,bagus menarik diskon mudah ketagihan belanja daring,2023-03,POSITIVE,1,0,POSITIVE
mantap deh cepat selesai akan mudah gunakan sewaktu waktu,5,2023-03-01,"['mantap', 'deh', 'cepat', 'selesai', 'mudah']",mantap deh cepat selesai mudah,mantap deh cepat selesai mudah,2023-03,POSITIVE,1,0,POSITIVE
sangat bagus pokox suka banget terima kasih akulaku,4,2023-03-07,"['bagus', 'pokox', 'suka', 'banget', 'terima', 'kasih', 'akulaku']",bagus pokox suka banget terima kasih akulaku,bagus pokox suka banget terima kasih akulaku,2023-03,POSITIVE,1,0,POSITIVE
terima kasih aku laku sangat membantu banget begitu loh bagus deh buat akulaku,5,2023-03-07,"['terima', 'kasih', 'laku', 'membantu', 'banget', 'loh', 'bagus', 'deh', 'akulaku']",terima kasih laku bantu banget loh bagus deh akulaku,terima kasih laku membantu banget loh bagus deh akulaku,2023-03,POSITIVE,1,0,POSITIVE
proses pengajuannya tidak rumit dan cepat suku bunganya rendah,5,2023-03-30,"['proses', 'pengajuannya', 'rumit', 'cepat', 'suku', 'bunganya', 'rendah']",proses aju rumit cepat suku bunga rendah,proses pengajuannya rumit cepat suku bunganya rendah,2023-03,POSITIVE,1,0,POSITIVE
sialan berisik sehari nelpon kali seolah saya maling merasa terganggu,1,2023-03-23,"['sialan', 'berisik', 'sehari', 'nelpon', 'kali', 'maling', 'terganggu']",sial berisik hari nelpon kali maling ganggu,sialan berisik sehari nelpon kali maling terganggu,2023-03,NEGATIVE,0,1,NEGATIVE
terima kasih semoga makin banyak fasilitas kredit ditunggu flexicardnya karena kredit score sudah,5,2023-03-13,"['terima', 'kasih', 'semoga', 'fasilitas', 'kredit', 'ditunggu', 'flexicardnya', 'kredit', 'score']",terima kasih moga fasilitas kredit tunggu flexicardnya kredit score,terima kasih semoga fasilitas kredit ditunggu flexicardnya kredit score,2023-03,POSITIVE,1,0,POSITIVE
terima kasih sudah membantu memberikan solusi pembayaran dan pinjaman mudah simpel rumit,5,2023-03-11,"['terima', 'kasih', 'membantu', 'solusi', 'pembayaran', 'pinjaman', 'mudah', 'simpel', 'rumit']",terima kasih bantu solusi bayar pinjam mudah simpel rumit,terima kasih membantu solusi pembayaran pinjaman mudah simpel rumit,2023-03,POSITIVE,1,0,POSITIVE
belanja mudah cepat efisien banyak fitur lainnya maju terus semoga sukses selalu,5,2023-03-13,"['belanja', 'mudah', 'cepat', 'efisien', 'fitur', 'maju', 'semoga', 'sukses']",belanja mudah cepat efisien fitur maju moga sukses,belanja mudah cepat efisien fitur maju semoga sukses,2023-03,POSITIVE,1,0,POSITIVE
terima kasih semoga selalu jadi yang terbaik dan makin suxes,5,2023-03-11,"['terima', 'kasih', 'semoga', 'terbaik', 'suxes']",terima kasih moga baik suxes,terima kasih semoga terbaik suxes,2023-03,POSITIVE,1,0,POSITIVE
kapok belanja aplilasi mau batal barang susah benar barang hari kirim,1,2023-03-08,"['kapok', 'belanja', 'aplilasi', 'batal', 'barang', 'susah', 'barang', 'kirim']",kapok belanja aplilasi batal barang susah barang kirim,kapok belanja aplilasi batal barang susah barang kirim,2023-03,NEGATIVE,0,1,NEGATIVE
sanggat berguna sekali terutama untuk penjual pulsa saldo dan lain lain,5,2023-03-12,"['sanggat', 'berguna', 'penjual', 'pulsa', 'saldo']",sanggat guna jual pulsa saldo,sanggat berguna penjual pulsa saldo,2023-03,POSITIVE,1,0,POSITIVE
benar solusi terbaik disaat ada kebutuhan mendadak banyak akulaku,5,2023-03-01,"['solusi', 'terbaik', 'disaat', 'kebutuhan', 'mendadak', 'akulaku']",solusi baik saat butuh dadak akulaku,solusi terbaik disaat kebutuhan mendadak akulaku,2023-03,POSITIVE,1,0,POSITIVE
beruntung banget bisa daftar semua jadi serba mudah,5,2023-03-04,"['beruntung', 'banget', 'daftar', 'serba', 'mudah']",untung banget daftar serba mudah,beruntung banget daftar serba mudah,2023-03,POSITIVE,1,0,POSITIVE
yang tidak rumit serba bisa gunakan untuk membayar apa saja hebat kredivo,5,2023-03-17,"['rumit', 'serba', 'membayar', 'hebat', 'kredivo']",rumit serba bayar hebat kredivo,rumit serba membayar hebat kredivo,2023-03,POSITIVE,1,0,POSITIVE
bagus cepat lain gadapet ini bisa tapi sayang tanggal pembayarannya makin lama makin kurang,4,2023-03-24,"['bagus', 'cepat', 'gadapet', 'sayang', 'tanggal', 'pembayarannya']",bagus cepat gadapet sayang tanggal bayar,bagus cepat gadapet sayang tanggal pembayarannya,2023-03,POSITIVE,1,0,POSITIVE
mantap sangat membantu konsumen ingin mendapatkan barang dengan sistem cicilan,5,2023-03-20,"['mantap', 'membantu', 'konsumen', 'barang', 'sistem', 'cicilan']",mantap bantu konsumen barang sistem cicil,mantap membantu konsumen barang sistem cicilan,2023-03,POSITIVE,1,0,POSITIVE
mengecewakann sudah bayar tetapi bisa pakai lagi pdahal terlambat bayar nya,1,2023-03-12,"['mengecewakann', 'bayar', 'pakai', 'pdahal', 'terlambat', 'bayar', 'nya']",mengecewakann bayar pakai pdahal lambat bayar nya,mengecewakann bayar pakai pdahal terlambat bayar nya,2023-03,NEGATIVE,0,1,NEGATIVE
pinjoll rata ngedarbuss iklan doank kenyataan noll,1,2023-04-03,"['pinjoll', 'ngedarbuss', 'iklan', 'doank', 'kenyataan', 'noll']",pinjoll ngedarbuss iklan doank nyata noll,pinjoll ngedarbuss iklan doank kenyataan noll,2023-04,NEGATIVE,0,1,NEGATIVE
usah didownload aplikasi ini hanya pemberi harapan palsu masak sudah lunas bahkan dapat limit,1,2023-04-18,"['didownload', 'aplikasi', 'pemberi', 'harapan', 'palsu', 'masak', 'lunas', 'limit']",didownload aplikasi beri harap palsu masak lunas limit,didownload aplikasi pemberi harapan palsu masak lunas limit,2023-04,NEGATIVE,0,1,NEGATIVE
cepat dan mudah waktu bayar sesuai badget,5,2023-04-30,"['cepat', 'mudah', 'bayar', 'sesuai', 'badget']",cepat mudah bayar sesuai badget,cepat mudah bayar sesuai badget,2023-04,POSITIVE,1,0,POSITIVE
terima kasih aplikasi yang membantu untuk mendapatkan barang inginkan,5,2023-04-26,"['terima', 'kasih', 'aplikasi', 'membantu', 'barang']",terima kasih aplikasi bantu barang,terima kasih aplikasi membantu barang,2023-04,POSITIVE,1,0,POSITIVE
mantap semoga slanjutny jangan persulit mksih kredivo,5,2023-04-12,"['mantap', 'semoga', 'slanjutny', 'persulit', 'mksih', 'kredivo']",mantap moga slanjutny sulit mksih kredivo,mantap semoga slanjutny persulit mksih kredivo,2023-04,POSITIVE,1,0,POSITIVE
beli disini sangat mudah ciicilannya ringan suka,5,2023-04-14,"['beli', 'mudah', 'ciicilannya', 'ringan', 'suka']",beli mudah ciicilannya ringan suka,beli mudah ciicilannya ringan suka,2023-04,POSITIVE,1,0,POSITIVE
makin tidak jelas sebentar isu keamanan mulu kalau tidak percaya tidak usah buka paylater,1,2023-04-02,"['sebentar', 'isu', 'keamanan', 'mulu', 'percaya', 'buka', 'paylater']",sebentar isu aman mulu percaya buka paylater,sebentar isu keamanan mulu percaya buka paylater,2023-04,NEGATIVE,0,1,NEGATIVE
sukses selalu belum lama pakai coba dulu sebagus apa akulaku,5,2023-04-30,"['sukses', 'pakai', 'coba', 'sebagus', 'akulaku']",sukses pakai coba bagus akulaku,sukses pakai coba sebagus akulaku,2023-04,POSITIVE,1,0,POSITIVE
pinjaman yang sangat bagus mudah mudahan saya dapat pinjaman karena saat ini sangat membutuhkan,5,2023-04-16,"['pinjaman', 'bagus', 'mudah', 'mudahan', 'pinjaman', 'membutuhkan']",pinjam bagus mudah mudah pinjam butuh,pinjaman bagus mudah mudahan pinjaman membutuhkan,2023-04,POSITIVE,1,0,POSITIVE
sangat membantu keuangan saya aku laku insyaallah amanah terima kasih aku laku,5,2023-04-26,"['membantu', 'keuangan', 'laku', 'insyaallah', 'amanah', 'terima', 'kasih', 'laku']",bantu uang laku insyaallah amanah terima kasih laku,membantu keuangan laku insyaallah amanah terima kasih laku,2023-04,POSITIVE,1,0,POSITIVE
ini sangat membantu saat saya butuh pinjaman prosesnya cepat mudah terima kasih akulaku,4,2023-04-15,"['membantu', 'butuh', 'pinjaman', 'prosesnya', 'cepat', 'mudah', 'terima', 'kasih', 'akulaku']",bantu butuh pinjam proses cepat mudah terima kasih akulaku,membantu butuh pinjaman prosesnya cepat mudah terima kasih akulaku,2023-04,POSITIVE,1,0,POSITIVE
aku laku sangat membantu saat aku dalam kesulitan keuangan mks akulaku,5,2023-04-29,"['laku', 'membantu', 'kesulitan', 'keuangan', 'mks', 'akulaku']",laku bantu sulit uang mks akulaku,laku membantu kesulitan keuangan mks akulaku,2023-04,POSITIVE,1,0,POSITIVE
sangat membantu dan mudah pelayanannya juga cepat pokoknya terbaik buat akulaku,5,2023-04-17,"['membantu', 'mudah', 'pelayanannya', 'cepat', 'pokoknya', 'terbaik', 'akulaku']",bantu mudah layan cepat pokok baik akulaku,membantu mudah pelayanannya cepat pokoknya terbaik akulaku,2023-04,POSITIVE,1,0,POSITIVE
bagus kerja semoga bisa lebih baik lagi dan fitur nya diperbanyak,5,2023-04-07,"['bagus', 'kerja', 'semoga', 'fitur', 'nya', 'diperbanyak']",bagus kerja moga fitur nya banyak,bagus kerja semoga fitur nya diperbanyak,2023-04,POSITIVE,1,0,POSITIVE
belum pernah mencoba inoana mudah mudahan berhasil terima kasih,5,2023-04-08,"['mencoba', 'inoana', 'mudah', 'mudahan', 'berhasil', 'terima', 'kasih']",coba inoana mudah mudah hasil terima kasih,mencoba inoana mudah mudahan berhasil terima kasih,2023-04,POSITIVE,1,0,POSITIVE
aplikasi sangat membantu dan sangat mudah untuk pembayaran apapun,5,2023-04-10,"['aplikasi', 'membantu', 'mudah', 'pembayaran', 'apapun']",aplikasi bantu mudah bayar apa,aplikasi membantu mudah pembayaran apapun,2023-04,POSITIVE,1,0,POSITIVE
sangat menyukai aplikasi ini sangat membantu semua kebutuhan mudah,5,2023-04-24,"['menyukai', 'aplikasi', 'membantu', 'kebutuhan', 'mudah']",suka aplikasi bantu butuh mudah,menyukai aplikasi membantu kebutuhan mudah,2023-04,POSITIVE,1,0,POSITIVE
bayar rutin tapi tiba tidak bisa dipakai sama sekali pinjaman dan lain lain selalu tolak,2,2023-04-04,"['bayar', 'rutin', 'dipakai', 'pinjaman', 'tolak']",bayar rutin pakai pinjam tolak,bayar rutin dipakai pinjaman tolak,2023-04,NEGATIVE,0,1,NEGATIVE
semoga kasih limit harapkan buat kredit bagus,5,2023-04-02,"['semoga', 'kasih', 'limit', 'harapkan', 'kredit', 'bagus']",moga kasih limit harap kredit bagus,semoga kasih limit harapkan kredit bagus,2023-04,POSITIVE,1,0,POSITIVE
setelah scaming terjadi dan tidak membantu menyelamatkan saya sangat tidak suka dengan aplikasi ini,1,2023-04-02,"['scaming', 'membantu', 'menyelamatkan', 'suka', 'aplikasi']",scaming bantu selamat suka aplikasi,scaming membantu menyelamatkan suka aplikasi,2023-04,NEGATIVE,0,1,NEGATIVE
mantap baik pelayanannya cepat tepat akurat lancar trmkasih,5,2023-04-20,"['mantap', 'pelayanannya', 'cepat', 'akurat', 'lancar', 'trmkasih']",mantap layan cepat akurat lancar trmkasih,mantap pelayanannya cepat akurat lancar trmkasih,2023-04,POSITIVE,1,0,POSITIVE
baru pertama kali coba semoga bisa bantu dana mepet,4,2023-04-15,"['kali', 'coba', 'semoga', 'bantu', 'dana', 'mepet']",kali coba moga bantu dana mepet,kali coba semoga bantu dana mepet,2023-04,POSITIVE,1,0,POSITIVE
terima kasih tenor hari tanpa bunga betul sangat membantu,5,2023-04-27,"['terima', 'kasih', 'tenor', 'bunga', 'membantu']",terima kasih tenor bunga bantu,terima kasih tenor bunga membantu,2023-04,POSITIVE,1,0,POSITIVE
mudah mudahan bisa menambah manfa bagi semua nya,5,2023-04-11,"['mudah', 'mudahan', 'menambah', 'manfa', 'nya']",mudah mudah tambah manfa nya,mudah mudahan menambah manfa nya,2023-04,POSITIVE,1,0,POSITIVE
gara gagal transaksi lazada tiba akun blokir permanen aneh padahal pembayaran selalu tepat waktu,1,2023-04-18,"['gara', 'gagal', 'transaksi', 'lazada', 'akun', 'blokir', 'permanen', 'aneh', 'pembayaran']",gara gagal transaksi lazada akun blokir permanen aneh bayar,gara gagal transaksi lazada akun blokir permanen aneh pembayaran,2023-04,NEGATIVE,0,1,NEGATIVE
terima kasih kridipo adanya pinjol ini sangat membantu,5,2023-04-04,"['terima', 'kasih', 'kridipo', 'pinjol', 'membantu']",terima kasih kridipo pinjol bantu,terima kasih kridipo pinjol membantu,2023-04,POSITIVE,1,0,POSITIVE
menyesal bayar sebelum jatoh tempo bahkan bisa acc karena terlalu cepat bayar nya,1,2023-04-06,"['menyesal', 'bayar', 'jatoh', 'tempo', 'acc', 'cepat', 'bayar', 'nya']",sesal bayar jatoh tempo acc cepat bayar nya,menyesal bayar jatoh tempo acc cepat bayar nya,2023-04,NEGATIVE,0,1,NEGATIVE
limitnya ada tertera tapi pakai transaksi bisa aneh,2,2023-04-11,"['limitnya', 'tertera', 'pakai', 'transaksi', 'aneh']",limit tera pakai transaksi aneh,limitnya tertera pakai transaksi aneh,2023-04,NEGATIVE,0,1,NEGATIVE
cepat pencairan bunga tidak terlalu tinggi walau minus suka nlp sebelum jatuh tempo,4,2023-04-02,"['cepat', 'pencairan', 'bunga', 'minus', 'suka', 'nlp', 'jatuh', 'tempo']",cepat cair bunga minus suka nlp jatuh tempo,cepat pencairan bunga minus suka nlp jatuh tempo,2023-04,POSITIVE,1,0,POSITIVE
sangat membantu sekali aplikasi nya bagus deh buat kredivo,5,2023-04-20,"['membantu', 'aplikasi', 'nya', 'bagus', 'deh', 'kredivo']",bantu aplikasi nya bagus deh kredivo,membantu aplikasi nya bagus deh kredivo,2023-04,POSITIVE,1,0,POSITIVE
amat sangat membantu dan tetap terus terjaga agar tidak terlambat dalam segi hal pembayaran,5,2023-04-05,"['membantu', 'terjaga', 'terlambat', 'segi', 'pembayaran']",bantu jaga lambat segi bayar,membantu terjaga terlambat segi pembayaran,2023-04,POSITIVE,1,0,POSITIVE
baru juga saya lunasin pembayaran sebelum tempo bahkan ditolak mau ngajuin lagi aneh juga ya,1,2023-04-05,"['lunasin', 'pembayaran', 'tempo', 'ditolak', 'ngajuin', 'aneh', 'ya']",lunasin bayar tempo tolak ngajuin aneh ya,lunasin pembayaran tempo ditolak ngajuin aneh ya,2023-04,NEGATIVE,0,1,NEGATIVE
sangat membantu disaat butuh bunga sangat rendah,5,2023-04-07,"['membantu', 'disaat', 'butuh', 'bunga', 'rendah']",bantu saat butuh bunga rendah,membantu disaat butuh bunga rendah,2023-04,POSITIVE,1,0,POSITIVE
terus ajah tidak lolos verifikasi selalu ada notif buat daftar ulang fix hapus instalan,1,2023-04-20,"['ajah', 'lolos', 'verifikasi', 'notif', 'daftar', 'ulang', 'fix', 'hapus', 'instalan']",ajah lolos verifikasi notif daftar ulang fix hapus instalan,ajah lolos verifikasi notif daftar ulang fix hapus instalan,2023-04,NEGATIVE,0,1,NEGATIVE
mantap tidak pakai rumit terima kasih kredivo,5,2023-04-19,"['mantap', 'pakai', 'rumit', 'terima', 'kasih', 'kredivo']",mantap pakai rumit terima kasih kredivo,mantap pakai rumit terima kasih kredivo,2023-04,POSITIVE,1,0,POSITIVE
terima kasih telah menjadi teman disaat butuh cuan mendesak,5,2023-04-01,"['terima', 'kasih', 'teman', 'disaat', 'butuh', 'cuan', 'mendesak']",terima kasih teman saat butuh cuan desak,terima kasih teman disaat butuh cuan mendesak,2023-04,POSITIVE,1,0,POSITIVE
kenapa spam telpon saya pernah terlambat bayar bikin nyaman cara berhenti akun bagaimana,1,2023-04-11,"['spam', 'telpon', 'terlambat', 'bayar', 'bikin', 'nyaman', 'berhenti', 'akun']",spam telpon lambat bayar bikin nyaman henti akun,spam telpon terlambat bayar bikin nyaman berhenti akun,2023-04,NEGATIVE,0,1,NEGATIVE
aebakk ada menit dana sudah cair pengajuannya tidak berbelit semoga kedepannya lancar,5,2023-04-17,"['aebakk', 'menit', 'dana', 'cair', 'pengajuannya', 'berbelit', 'semoga', 'kedepannya', 'lancar']",aebakk menit dana cair aju belit moga depan lancar,aebakk menit dana cair pengajuannya berbelit semoga kedepannya lancar,2023-04,POSITIVE,1,0,POSITIVE
tenor terlalu sedikut bagi pinjaman 3juta kebawah,1,2023-04-04,"['tenor', 'sedikut', 'pinjaman', '3juta', 'kebawah']",tenor sedikut pinjam 3juta bawah,tenor sedikut pinjaman 3juta kebawah,2023-04,NEGATIVE,0,1,NEGATIVE
tolong data dihapus tidak jadi meminjam indodana,1,2023-04-20,"['tolong', 'data', 'dihapus', 'meminjam', 'indodana']",tolong data hapus pinjam indodana,tolong data dihapus meminjam indodana,2023-04,NEGATIVE,0,1,NEGATIVE
lumayan mudah sih kita coba semoga acc,5,2023-04-09,"['lumayan', 'mudah', 'sih', 'coba', 'semoga', 'acc']",lumayan mudah sih coba moga acc,lumayan mudah sih coba semoga acc,2023-04,POSITIVE,1,0,POSITIVE
aplikasi lambat blank sulit tambah diperbarui mkin rumit,1,2023-04-01,"['aplikasi', 'lambat', 'blank', 'sulit', 'diperbarui', 'mkin', 'rumit']",aplikasi lambat blank sulit baru mkin rumit,aplikasi lambat blank sulit diperbarui mkin rumit,2023-04,NEGATIVE,0,1,NEGATIVE
payah sudah bayar tepat waktu tetapi tidak bisa dipakai kredit onlenshop hanya bisa beli pulsa,1,2023-04-18,"['payah', 'bayar', 'dipakai', 'kredit', 'onlenshop', 'beli', 'pulsa']",payah bayar pakai kredit onlenshop beli pulsa,payah bayar dipakai kredit onlenshop beli pulsa,2023-04,NEGATIVE,0,1,NEGATIVE
limit turun tiba padahal sudah bayar sebelum jatuh tempo,1,2023-04-28,"['limit', 'turun', 'bayar', 'jatuh', 'tempo']",limit turun bayar jatuh tempo,limit turun bayar jatuh tempo,2023-04,NEGATIVE,0,1,NEGATIVE
persyaratany mudah langkh pengisian data mudah mengerti,5,2023-04-30,"['persyaratany', 'mudah', 'langkh', 'pengisian', 'data', 'mudah', 'mengerti']",persyaratany mudah langkh isi data mudah erti,persyaratany mudah langkh pengisian data mudah mengerti,2023-04,POSITIVE,1,0,POSITIVE
oke banget bisa membantu kala ada kebutuhan mendesak terima kasih akulaku,5,2023-04-12,"['oke', 'banget', 'membantu', 'kebutuhan', 'mendesak', 'terima', 'kasih', 'akulaku']",oke banget bantu butuh desak terima kasih akulaku,oke banget membantu kebutuhan mendesak terima kasih akulaku,2023-04,POSITIVE,1,0,POSITIVE
telatt dikit skor langsung berubahh jadi phl saya pakai akan kreipo lebih tahn,1,2023-04-13,"['telatt', 'dikit', 'skor', 'langsung', 'berubahh', 'phl', 'pakai', 'kreipo', 'tahn']",telatt dikit skor langsung berubahh phl pakai kreipo tahn,telatt dikit skor langsung berubahh phl pakai kreipo tahn,2023-04,NEGATIVE,0,1,NEGATIVE
terima kasih aplikasi rekomendasi bagi sedang mendesak keuangan,5,2023-04-07,"['terima', 'kasih', 'aplikasi', 'rekomendasi', 'mendesak', 'keuangan']",terima kasih aplikasi rekomendasi desak uang,terima kasih aplikasi rekomendasi mendesak keuangan,2023-04,POSITIVE,1,0,POSITIVE
membantu dikeadaan mepet mantap cepat limit besar,5,2023-04-17,"['membantu', 'dikeadaan', 'mepet', 'mantap', 'cepat', 'limit']",bantu ada mepet mantap cepat limit,membantu dikeadaan mepet mantap cepat limit,2023-04,POSITIVE,1,0,POSITIVE
upgrade premium belum bisa sudah dicoba gagal terus untuk paylaternya masih terbaik dari lain,5,2023-04-11,"['upgrade', 'premium', 'dicoba', 'gagal', 'paylaternya', 'terbaik']",upgrade premium coba gagal paylaternya baik,upgrade premium dicoba gagal paylaternya terbaik,2023-04,POSITIVE,1,0,POSITIVE
pinjaman mudah bisa untuk belanja kebutuhan kita ikutan ayo makin sukses saja,5,2023-04-18,"['pinjaman', 'mudah', 'belanja', 'kebutuhan', 'ikutan', 'ayo', 'sukses']",pinjam mudah belanja butuh ikut ayo sukses,pinjaman mudah belanja kebutuhan ikutan ayo sukses,2023-04,POSITIVE,1,0,POSITIVE
sangat membantu proses cepat semoga bunganya bisa turun lagi dan biaya admin agak dikecilin,5,2023-04-01,"['membantu', 'proses', 'cepat', 'semoga', 'bunganya', 'turun', 'biaya', 'admin', 'dikecilin']",bantu proses cepat moga bunga turun biaya admin dikecilin,membantu proses cepat semoga bunganya turun biaya admin dikecilin,2023-04,POSITIVE,1,0,POSITIVE
mantap pakai rumit langsung cair bisa percaya sangat membantu,5,2023-04-18,"['mantap', 'pakai', 'rumit', 'langsung', 'cair', 'percaya', 'membantu']",mantap pakai rumit langsung cair percaya bantu,mantap pakai rumit langsung cair percaya membantu,2023-04,POSITIVE,1,0,POSITIVE
proses mudah dan simpel mudah mengerti buat permula seperti saya,5,2023-04-30,"['proses', 'mudah', 'simpel', 'mudah', 'mengerti', 'permula']",proses mudah simpel mudah erti mula,proses mudah simpel mudah mengerti permula,2023-04,POSITIVE,1,0,POSITIVE
bayar tidak pernah lewat jatuh tempo bahkan gadikasih transaksi aneh,1,2023-04-28,"['bayar', 'jatuh', 'tempo', 'gadikasih', 'transaksi', 'aneh']",bayar jatuh tempo gadikasih transaksi aneh,bayar jatuh tempo gadikasih transaksi aneh,2023-04,NEGATIVE,0,1,NEGATIVE
sangat membantu playanannya bagus terima kasih kredivo,5,2023-04-29,"['membantu', 'playanannya', 'bagus', 'terima', 'kasih', 'kredivo']",bantu playanannya bagus terima kasih kredivo,membantu playanannya bagus terima kasih kredivo,2023-04,POSITIVE,1,0,POSITIVE
tidak bisa registrasi parah malah disuruh kntor taik taiklahh,1,2023-04-27,"['registrasi', 'parah', 'disuruh', 'kntor', 'taik', 'taiklahh']",registrasi parah suruh kntor taik taiklahh,registrasi parah disuruh kntor taik taiklahh,2023-04,NEGATIVE,0,1,NEGATIVE
saya merasa sangat membantu semoga kreditvo makis banyak disukai kalau ada bintang,5,2023-04-18,"['membantu', 'semoga', 'kreditvo', 'makis', 'disukai', 'bintang']",bantu moga kreditvo makis suka bintang,membantu semoga kreditvo makis disukai bintang,2023-04,POSITIVE,1,0,POSITIVE
aplikasi ini sangat membantu terima kasih banyak akulaku,5,2023-04-10,"['aplikasi', 'membantu', 'terima', 'kasih', 'akulaku']",aplikasi bantu terima kasih akulaku,aplikasi membantu terima kasih akulaku,2023-04,POSITIVE,1,0,POSITIVE
sangat puas dengan akun ini sangat membantu dengan kondisi seperti ini terima kasih kredivo,5,2023-04-17,"['puas', 'akun', 'membantu', 'kondisi', 'terima', 'kasih', 'kredivo']",puas akun bantu kondisi terima kasih kredivo,puas akun membantu kondisi terima kasih kredivo,2023-04,POSITIVE,1,0,POSITIVE
memuaskan bagus semoga lancar dan jaya yerus,5,2023-04-18,"['memuaskan', 'bagus', 'semoga', 'lancar', 'jaya', 'yerus']",puas bagus moga lancar jaya yerus,memuaskan bagus semoga lancar jaya yerus,2023-04,POSITIVE,1,0,POSITIVE
bodoh bayar tepat waktu terus pinjaman bahkan turun dari jadi 8jt,2,2023-04-06,"['bodoh', 'bayar', 'pinjaman', 'turun', '8jt']",bodoh bayar pinjam turun 8jt,bodoh bayar pinjaman turun 8jt,2023-04,NEGATIVE,0,1,NEGATIVE
